31700000 Hervé
196000 Saverio Mercadante
196000 Paolo Tosti
196000 Meredith Willson
196000 André Campra
194000 Stanley Myers
194000 Ignacy Jan Paderewski
193000 Mikhail Glinka
191000 Louis Couperin
191000 John Gamble
190000 Bohuslav Martinů
189000 Jean Gilbert
189000 Antonio Braga
188000 Sofia Gubaidulina
188000 Paul Abraham
188000 Artur Schnabel
188000 Angela Ro Ro
187000 Mauricio Kagel
187000 Alexander Glazunov
186000 Ian Munro
186000 Gregorio Allegri
186000 Douglas Moore
186000 Bruce Broughton
185000 Thomas Gabriel
185000 Pauline Oliveros
185000 Gaspar Sanz
184000 Jean Guillou
181000 Jack Body
181000 Fernando Lopes-Graça
180000 Luigi Bassi
179000 Robert Parsons
179000 Michel de La Barre
179000 Harry Partch
179000 Giovanni Sollima
177000 Virgil Thomson
177000 Manuel Quiroga
176000 Robert Broberg
176000 Orlando Gibbons
176000 John Goss
175000 Bruno Maderna
174000 Marc-André Hamelin
174000 Lou Harrison
174000 Johan de Meij
172000 Randall Thompson
172000 Antonio Caldara
172000 Alberto Nepomuceno
171000 Pavel Haas
171000 Giacinto Scelsi
170000 Paul Patterson
170000 Evaristo Felice Dall'Abaco
170000 Erkki-Sven Tüür
169000 Luigi Russolo
169000 Earle Brown
169000 Ahmed Adnan Saygun
168000 Lars-Erik Larsson
168000 Glenn Branca
168000 Adi Smolar
167000 William Bolcom
167000 Michael Tippett
167000 Howard Hanson
167000 Doc Pomus
166000 Richard Rodney Bennett
166000 Antonio Lotti
166000 Anthony Payne
165000 Robert Paterson
165000 Jan Dismas Zelenka
165000 Estêvão de Brito
165000 David C. Johnson
164000 Mario Castelnuovo-Tedesco
164000 Christopher Shaw
164000 Alfredo Casella
163000 Ferdinando Carulli
161000 Don Byron
161000 Carlos Patiño
160000 Amadeo Roldán
159000 Thomas Preston
159000 Akira Ifukube
158000 Sigmund Romberg
158000 Rebecca Clarke
158000 Franz von Suppé
158000 Carlos Seixas
157000 Simon Webb
157000 John Carmichael
157000 Herbert Howells
156000 Robert A. Harris
156000 Ned Rorem
156000 Leif Segerstam
156000 Helmut Lachenmann
156000 Carmine Coppola
156000 Carl Michael Bellman
154000 Samuel Wesley
154000 Maurice Duruflé
154000 Martin Kennedy
153000 Macedonio Alcalá
153000 Ben Weber
152000 Hans Lang
152000 Gustave Charpentier
152000 Frank Ticheli
152000 Fanny Mendelssohn
152000 Christopher Simpson
151000 Oswald von Wolkenstein
151000 Gaspare Spontini
151000 Dimitri Mitropoulos
151000 Bruce Carlson
150000 Luca Marenzio
149000 Gerald Finzi
149000 Clytus Gottwald
148000 Ástor Piazzolla
148000 Neil Davidge
148000 Deems Taylor
147000 Michael Wise
147000 Louis Andriessen
146000 Siegfried Wagner
146000 Salvatore Sciarrino
146000 Franz Xaver Gruber
146000 Amy Beach
145000 Ángel Barrios
145000 Juan del Encina
145000 John Eccles
145000 Igor Markevitch
144000 Julio Estrada
144000 Claude Le Jeune
144000 Antonio de Salazar
143000 Johannes Ockeghem
143000 Henry Carey
143000 Edward MacDowell
143000 Charles Villiers Stanford
143000 Carl Reinecke
143000 Ayuo
143000 Arthur Bliss
143000 Anton Diabelli
143000 Adam de la Halle
142000 John Bennet
142000 George Antheil
141000 Stephen Jaffe
141000 Milton Babbitt
141000 Joseph Gibbs
141000 Giovanni Pacini
141000 Cristóbal de Morales
140000 Witold Lutosławski
140000 Robert Ramsey
140000 Harrison Birtwistle
140000 Arthur De Greef
140000 Alessandro Stradella
139000 Wilhelm Friedemann Bach
139000 Robert Fuchs
139000 Gilles Binchois
139000 Daniel Alomía Robles
138000 Jeremiah Clarke
138000 Alan Hovhaness
137000 Peter Winter
137000 Louis Moreau Gottschalk
137000 Fernando Bustamante
136000 Michael Waller
135000 Thomas Adès
135000 John Blow
135000 Henryk Górecki
135000 Henri Duparc
135000 Giya Kancheli
135000 André Messager
135000 Alvin Lucier
134000 Patrick Gilmore
134000 John Abell
134000 Florent Schmitt
134000 Ernst Krenek
134000 Edgard Varèse
133000 Sandro de America
133000 Luis de Milán
133000 Jack Gallagher
132000 T. J. Anderson
132000 Sabine Baring-Gould
132000 Marcel Dupré
132000 Julius Fučík
132000 Henry Holmes
132000 Gordon Jacob
132000 Federico Moreno Torroba
132000 David Amram
131000 Michael Daugherty
130000 Jean-Marie Leclair
130000 Francesco Mancini
130000 Antonio Valente
129000 Vernon Duke
129000 Gottfried von Einem
128000 Don Banks
128000 Dave Bartholomew
128000 Anders Berglund
127000 Thomas Campion
127000 Ross Edwards
127000 Giacomo Carissimi
126000 Peter Sculthorpe
126000 Osvaldo Golijov
